avg_established_duration,connections_per_second,failure_rate,process_to_ip_diversity,destination_diversity_score,ip_entropy,label
19677.39232,0.06426303,0,6.8,0.058139535,3.082970378,0
19831.27153,0.063671875,0.003067485,6.7,0.061349693,3.070166277,0
16117.50476,0.070349386,0,6.888888889,0.05704698,3.025905039,0
15975.45046,0.070493454,0.003571429,7.625,0.060714286,3.024142884,0
15909.61637,0.069312169,0.003816794,7.625,0.064885496,3.05930615,0
15853.08596,0.060826033,0,9,0.074074074,3.110144395,0
15920.20149,0.059602649,0.004444444,9,0.08,3.110892991,0
15664.83873,0.06305479,0,8.571428571,0.082524272,3.08538415,0
15656.74116,0.064885496,0,7.857142857,0.080213904,3.062605346,0
15216.26201,0.055174665,0,8.428571429,0.100591716,3.152967173,0
19313.55379,0.0499002,0,8.428571429,0.113333333,3.210015811,0
19581.94233,0.047705096,0.007575758,8.428571429,0.128787879,3.225113719,0
15096.54316,0.061546287,0,8.833333333,0.123966942,3.12889845,0
15936.65213,0.061700945,0,7.428571429,0.135135135,3.058537251,0
16416.8194,0.056749311,0,7.571428571,0.145631068,3.084951542,0
24251.46438,0.045323047,0,7.857142857,0.170212766,3.164833661,0
17569.85405,0.060532688,0.013333333,6.428571429,0.173333333,3.016490766,0
35715.15791,0.04350348,0,7.428571429,0.213333333,3.199514208,0
38887.20914,0.039561777,0,7,0.246153846,3.221013044,0
35875.09631,0.035660091,0,5.857142857,0.276595745,3.013832846,0
33231.46889,0.057507987,0,5.6,0.555555556,2.898426115,0
140904.3747,0.011111111,0,4.4,1,3.30481594,0
26118.42697,0.034443431,0,8.625,0.066225166,3.420523354,0
28170.64814,0.032980234,0,8.625,0.066225166,3.407456876,0
26878.62809,0.034641759,0,8.625,0.068259386,3.406531411,0
27609.11162,0.034287094,0,8.625,0.070422535,3.408994403,0
27540.6516,0.034833804,0.003521127,8.5,0.070422535,3.383222808,0
32379.21947,0.032197415,0,8.5,0.072992701,3.419535538,0
29130.75416,0.032869296,0,8.25,0.078431373,3.410877615,0
34281.7765,0.030400395,0,8.125,0.081300813,3.435890524,0
34316.98147,0.029945438,0,7.875,0.080508475,3.424514767,0
30284.37249,0.031650864,0,7.875,0.083700441,3.390585497,0
30827.68475,0.03125448,0,7.875,0.087155963,3.396670607,0
32004.0908,0.030739815,0,7.875,0.090909091,3.391724127,0
31921.31366,0.031357839,0,7.875,0.090909091,3.374835452,0
33804.49301,0.029539801,0,7.75,0.1,3.392813911,0
83474.05281,0.037079954,0,7,0.15625,3.170219962,0
33698.46034,0.030153944,0,7.75,0.1,3.362719883,0
40840.46212,0.027096191,0,7.75,0.105555556,3.413546998,0
13836.44676,0.027499191,0.005882353,8.571428571,0.111764706,3.347915854,0
13925.09362,0.026458735,0,8.428571429,0.125827815,3.380808947,0
156919.8157,0.017095245,0.046218487,3.962962963,0.105042017,3.867119,0
13911.66021,0.07281106,0.012658228,8.25,0.151898734,2.944340621,0
60750.62018,0.042233357,0,11,0.220338983,3.121190273,0
159365.1485,0.016137781,0.042016807,4.037037037,0.105042017,3.887442916,0
162886.0165,0.016727538,0.048034934,3.962962963,0.109170306,3.873590015,0
172623.6376,0.015611634,0.0456621,4.037037037,0.114155251,3.902148671,0
177007.0006,0.015822785,0.052380952,3.962962963,0.119047619,3.880040094,0
514018.808,0.014219622,0.04784689,4.153846154,0.119617225,3.913062122,0
203427.934,0.009950645,0.08,5.583333333,0.152,3.756347572,0
218283.6046,0.009312033,0.086206897,5.416666667,0.172413793,3.76978503,0
45635.40064,0.045370615,0.102713178,6,0.048449612,3.512764517,0
38375.73566,0.047057705,0.105050505,7,0.048484848,3.510995759,0
43241.51608,0.043531202,0.009324009,7.230769231,0.055944056,3.506047633,0
43950.5295,0.043050677,0.009324009,7.307692308,0.055944056,3.531072433,0
44892.66831,0.042746378,0.009546539,7.307692308,0.057279236,3.524973012,0
44802.66989,0.043644068,0.016990291,7.230769231,0.058252427,3.503953269,0
47955.91934,0.041910032,0.009779951,6.928571429,0.058679707,3.522521674,0
46830.08378,0.042909247,0.01,7.307692308,0.06,3.510514042,0
47776.65843,0.042699574,0.010230179,7.230769231,0.061381074,3.50984127,0
40763.17117,0.043008198,0.011049724,6.857142857,0.066298343,3.535765927,0
